# Modified from files "genes.fpkm_tracking" and "0_XLOC-LOC_ID_Conversion.txt"
gene_ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
XLOC_002987	1206.98	680.064	844.48	440.436
XLOC_002999	0	228.37	0	333.998
XLOC_003007	2411.88	2445.99	3092.89	2131.69
XLOC_003012	559.037	302.008	632.028	376.952
XLOC_003027	855.751	628.429	584.488	378.826
XLOC_003030	14.3936	50.6597	0	91.9135
XLOC_003035	2574.81	1146.47	2976.02	1564.05
XLOC_003041	95.0741	31.9561	107.601	29.5332
XLOC_003051	231.062	118.401	132.505	135.228
XLOC_003057	0	113.32	0	523.991
XLOC_003066	3588.14	2123.51	4538.06	6938.66
XLOC_003074	1457.81	1234.79	1958.97	188.484
XLOC_003086	205.736	168.904	330.857	355.682
XLOC_003091	272.932	172.469	326.883	150.33
XLOC_003105	184.881	43.9272	279.711	110.586
XLOC_003106	84.3287	23.0783	128.232	65.086
XLOC_003107	124.842	93.8315	193.43	137.164
XLOC_003113	730.37	410.435	658.081	415.422
XLOC_003132	259.145	328.841	212.114	181.565
XLOC_003147	437.142	136.607	135.725	214.458
XLOC_003151	50.2812	154.707	172.995	44.5237
XLOC_003163	16.3349	85.4835	111.588	35.0333
XLOC_003183	584.542	205.093	696.264	140.853
XLOC_003195	3891.16	3192.48	5019.07	4517.86
XLOC_003231	87.2387	29.1723	79.3456	154.505
XLOC_003241	0	4.55943	35.9086	26.6741
XLOC_003252	16.7048	323.808	104.691	190.849
XLOC_003253	266.913	455.441	403.369	409.625
XLOC_003254	2055.62	3435.51	2582.91	2521.8
XLOC_003260	2947.35	1197.19	2110.03	1884.82
XLOC_003262	122.737	455.364	569.279	347.764
XLOC_003276	25.9856	137.568	101.799	90.9677
XLOC_003290	110.724	134.266	88.3689	172.777
XLOC_003293	4532.53	3929.85	5050.07	3890.36
XLOC_003294	739.284	1207.16	902.059	830.571
XLOC_003295	22033.8	6394.58	34144	9184.06
XLOC_003297	1626.7	1347.82	1816.32	1067.22
XLOC_003299	39.3667	14.8812	19.5124	89.6023
XLOC_003306	468.891	538.791	344.917	961.68
XLOC_003357	6277.94	501.045	4368.22	263.6
XLOC_003358	14359.7	1960.24	10610.4	1704.31
XLOC_003359	9055.86	885.791	8251.17	453.225
XLOC_003360	17547.1	5910.82	17436	6309.64
XLOC_003388	65.7409	10.5089	67.5662	0
XLOC_003397	130.264	237.175	221.888	169.548
XLOC_003408	187.238	126.132	105.737	69.9212
XLOC_003410	549.305	388.07	289.104	328.229
XLOC_003432	1064.37	890.352	891.319	501.315
XLOC_003437	146.974	93.0281	167.337	154.646
XLOC_003465	50.7628	152.381	981.306	26.5528
XLOC_003466	100.052	430.542	863.42	27.0303
XLOC_003471	18.4988	0	19.1351	81.3342
XLOC_003473	315.016	431.495	299.812	239.253
XLOC_003493	109.093	64.8549	367.272	90.3231
XLOC_003498	321.842	66.3214	1072.94	198.706
XLOC_003502	19.8671	45.4859	50.1419	137.282
XLOC_003503	41.7584	102.476	68.4743	352.164
XLOC_003504	151.528	71.1704	341.608	96.2119
XLOC_003544	1075.84	243.259	1673.38	267.917
XLOC_003562	2384.12	2841.6	2018.13	2689.93
XLOC_003563	100.83	120.642	129.365	244.297
XLOC_003564	173.984	155.316	152.115	280.83
XLOC_003565	252.027	289.324	229.579	434.182
XLOC_003584	0	106.904	0	16.3108
XLOC_003585	0	170.78	52.0883	48.4356
XLOC_003586	101.306	276.992	226.357	160.094
XLOC_003587	79.7243	527.529	279.02	642.587
XLOC_003596	1159.49	747.894	2374.17	902.65
XLOC_003598	365.934	197.26	410.405	197.076
XLOC_003621	71.406	0	4.02466	6.01884
XLOC_003629	266.104	143.909	309.135	240.451
XLOC_003633	2791.21	1069.26	3567.15	322.245
XLOC_003639	479.664	189.926	1081.42	94.2992
XLOC_003640	401.507	234.626	969.882	26.564
XLOC_003651	35.8215	27.6959	54.7278	35.4963
XLOC_003657	27.3214	0	9.7429	5.10972
XLOC_003663	660.397	300.836	994.629	397.352
XLOC_003666	87.2877	24.3079	125.668	27.8601
XLOC_003670	199.548	78.163	264.876	118.057
XLOC_003682	4720.42	3078.2	2591.49	1718.79
XLOC_003712	174.646	107.933	158.118	233.53
XLOC_003713	11.2791	10.3072	0	22.4435
XLOC_003714	601.776	689.051	375.59	545.383
XLOC_003715	161.06	244.433	140.011	184.178
XLOC_003716	172.82	236.417	149.481	169.443
XLOC_003720	187.754	152.435	150.781	102.092
XLOC_003790	75.8461	40.6586	51.8899	29.7073
XLOC_003791	124.267	76.2847	97.0053	50.5587
XLOC_003792	277.395	109.081	574.703	146.191
XLOC_003793	75.3288	0	55.0525	111.619
XLOC_003794	606.084	526.909	894.649	629.362
XLOC_003798	748.878	1091.57	339.426	471.672
XLOC_003818	168.175	144.527	278.775	241.55
XLOC_003851	315.775	181.376	380.949	335.967
XLOC_003860	678.468	1034.79	703.971	590.862
XLOC_003864	144.633	418.785	76.6271	450.392
XLOC_003868	120.802	527.19	124.997	1089.44
XLOC_003877	1858.87	1220.4	1332.54	1049.68
XLOC_003904	41.5689	111.376	0	13.6975
XLOC_003932	450.732	52.4624	145.932	119.828
XLOC_003934	282.05	416.875	238.817	684.833
XLOC_003935	449.707	640.798	342.977	809.799
XLOC_003946	147.56	140.806	177.832	353.842
XLOC_003955	420.693	359.645	424.37	251.2
XLOC_003961	4916.05	2052.84	3443.71	2198.72
XLOC_003963	175.501	30.3791	121.688	48.4052
XLOC_003969	2595.89	3183.58	3819.66	4523.96
XLOC_003984	61.9805	26.8098	44.8567	90.724
XLOC_004013	436.615	352.971	555.088	682.189
XLOC_004049	116.724	227.872	97.8203	164.34
XLOC_004077	104.377	164.187	129.942	94.5376
XLOC_004108	0	75.012	124.482	131.229
XLOC_004109	253.369	64.3753	191.324	57.0997
XLOC_004110	8447.45	3705.74	8728.18	2196.59
XLOC_004113	3050.71	642.07	3799.46	804.513
XLOC_004116	557.739	43.1544	294.914	54.8519
XLOC_004120	3388.33	989.317	2029.86	632.412
XLOC_004121	1286.64	679.51	861.89	203.961
XLOC_004122	1731.12	1074.4	981.016	487.109
XLOC_004129	3148.23	3815.56	7432.72	3194.4
XLOC_004141	215.419	159.227	307.94	117.411
XLOC_004142	664.991	626.89	988.011	365.902
XLOC_004144	1187.19	1655.47	2142.08	1956.08
XLOC_004153	1419.84	519.152	742.3	80.3367
XLOC_004154	159.836	164.558	35.5174	0
XLOC_004168	1810.02	270.536	1471.99	601.57
XLOC_004169	813.205	160.831	823.122	137.418
XLOC_004204	140.594	138.954	100.584	278.983
XLOC_004205	0	11.7495	108.251	43.6362
XLOC_004206	527.102	295.212	498.259	256.276
XLOC_004231	213.031	69.3776	183.369	82.2475
XLOC_004232	4762.17	5111.48	5949.77	3963.75
XLOC_004272	2584.82	2106.7	3442.16	1737.24
XLOC_004273	367.103	290.947	470.918	322.737
XLOC_004274	174.123	222.705	242.87	115.95
XLOC_004275	64.7745	50.2302	137.675	48.2884
XLOC_004280	1388.19	4956.19	3960.47	6451.23
XLOC_004287	2416.43	3104.34	1603.49	3206.21
XLOC_004302	59.7815	0	8.47792	7.79568
XLOC_004308	3311.14	1168.54	1053.7	3477.65
XLOC_004309	261.9	142.514	0	579.973
XLOC_004315	15.5411	0	51.9133	25.4695
XLOC_004316	84.6979	496.596	153.015	190.496
XLOC_004331	2517.66	2103.4	3023.5	4161.09
XLOC_004347	163.5	212.518	132.659	216.297
XLOC_004348	266.875	409.614	209.259	235.469
XLOC_004356	454.202	186.196	144.438	289.313
XLOC_004362	661.856	195.563	644.553	308.193
XLOC_004367	1640.88	1070.74	2960.02	1151.7
XLOC_004390	329.637	21.2195	147.836	70.0911
XLOC_004391	33.1078	0	61.6541	0
XLOC_004392	73.2221	6.70846	63.9293	0
XLOC_004393	1904.97	459.316	1188	245.697
XLOC_004394	62.4861	22.4816	95.9672	56.6696
XLOC_004402	145.631	306.064	120.976	221.881
XLOC_004437	0	17.4276	2.36598	27.8053
XLOC_004438	62.6964	76.9107	9.91304	147.026
XLOC_004442	0	0	0	34.3942
XLOC_004444	257.328	298.83	123.943	197.063
XLOC_004456	281.877	139.103	210.039	70.7883
XLOC_004457	610.767	731.402	492.156	1177.49
XLOC_004478	488.713	204.564	523.229	278.66
XLOC_004480	586.158	82.2427	264.107	151.247
XLOC_004492	2175.07	1237.61	1780.68	1058.99
XLOC_004508	0	132.534	68.9189	210.464
XLOC_004510	410.057	393.724	370.728	627.553
XLOC_004548	10123.4	6724.47	8390.67	7149.31
XLOC_004559	0	133.572	0	21.0172
XLOC_004563	138.112	199.814	82.9533	117.438
XLOC_004569	78.0402	19.9727	92.4266	53.0793
XLOC_004589	217.866	136.684	265.656	185.225
XLOC_004608	728.684	320.804	450.752	310.254
XLOC_004609	134.827	66.5512	96.0376	39.6553
XLOC_004619	288.458	135.618	197.228	147.786
XLOC_004626	991.927	1566.37	1675.12	588.34
XLOC_004641	176.428	75.1824	346.119	108.103
XLOC_004644	105.579	20.6129	51.6731	45.1243
XLOC_004649	187929	394720	218140	350458
XLOC_004652	600.081	1058.76	738.371	833.318
