ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105337260|XLOC_000650|E3_ubiquitin-protein_ligase_arkadia-A	2921.51	446.97	4784.17	5453.85
LOC105337352|XLOC_020446|zinc_finger_protein_2_homolog	48.6942	36.3951	92.368	114.553
LOC105337421|XLOC_031263|uncharacterized	12.8785	0	13.9624	29.2999
LOC105337439|XLOC_008153|uncharacterized	720.273	556.578	1036.29	427.451
LOC105337557|XLOC_004982|protein_Jade-1	93.4141	72.4328	140.24	85.1138
LOC105337742|XLOC_020465|muscle_LIM_protein_1	159.588	71.7657	194.711	273.267
LOC105337984|XLOC_001732|mothers_against_decapentaplegic_homolog_3	747.335	843.038	733.991	1225.17
LOC105338008|XLOC_002949|sodium/potassium-transporting_ATPase_subunit_alpha	3456.61	4651.84	3142.21	3810.84
LOC105338241|XLOC_000975|uncharacterized	0	3.97589	16.9075	10.0887
LOC105338358|XLOC_019076|vacuolar_protein_sorting-associated_protein_11_homolog	189.697	39.1852	194.773	93.3219
LOC105338577|XLOC_020097|myoneurin	272.818	442.984	393.639	469.998
LOC105338653|XLOC_031968|cytosolic_purine_5'-nucleotidase	91.6551	78.5187	152.784	91.5756
LOC105338798|XLOC_027853|aconitate_hydratase,_mitochondrial	993.724	562.196	1043.5	1018.69
LOC105338896|XLOC_008659|stromelysin-3	103.551	76.768	47.8362	30.5789
LOC105339136|XLOC_005793|transcriptional_regulator_ATRX	390.577	591.057	412.677	413.746
LOC105340116|XLOC_021553|sodium/calcium_exchanger_2	958.21	684.173	394.967	700.048
LOC105340116|XLOC_021562|sodium/calcium_exchanger_2	99.4046	236.935	0	18.9877
LOC105340692|XLOC_021787|methionine_synthase	551.924	686.758	93.494	285.175
LOC105340795|XLOC_032299|histone-lysine_N-methyltransferase_NSD2	366.863	492.109	289.324	368.148
LOC105341096|XLOC_030040|ecdysone-induced_protein_78C	145.834	223.353	187.513	248.266
