tracking_id	E_38_0	E_38_1	E_38_2	E_51_1	E_51_2	E_51_0	C_38_0	C_38_2	C_38_1	C_51_2	C_51_0	C_51_1
XLOC_000403	63.7027	34.9906	43.9257	88.2421	101.077	103.697	67.8402	53.7645	65.4973	54.4355	52.0933	36.2841
XLOC_000456	16.4748	13.8335	20.6182	65.5854	38.2718	42.8314	12.881	18.9171	13.8552	9.26561	22.5479	15.652
XLOC_000467	133.995	96.0206	103.091	175.292	170.751	209.648	57.5353	32.8561	66.7568	225.849	182.715	189.958
XLOC_000468	3.29497	0.813734	1.79288	2.38492	0.981327	12.3986	0	0	0	4.6328	1.55503	0.711454
XLOC_000473	4.39329	1.62747	8.06798	0	0	0	0.858736	0	1.25956	0	0	2.13436
XLOC_000480	4.39329	8.13734	17.0324	36.9663	29.4398	28.1785	12.881	15.9302	27.7104	42.8534	30.323	21.3436
XLOC_000482	0	4.06867	2.68933	0	0	0	0.858736	1.99128	1.25956	0	5.44259	2.13436
XLOC_000492	0	0	0	4.76984	0.981327	2.25428	2.57621	4.9782	0	1.1582	0.777513	2.13436
XLOC_000494	1.09832	0	0.896442	11.9246	0	1.12714	0	0.995639	0	0	0	0
XLOC_000495	5.49162	6.50987	9.86087	16.6945	14.7199	15.78	7.72863	9.95639	2.51913	11.582	10.1077	9.2489
XLOC_000496	348.168	310.846	256.383	999.283	883.194	668.395	155.431	199.128	290.959	1602.95	1131.28	1370.26
XLOC_000499	13.1799	22.7846	10.7573	81.0874	57.8983	65.3742	4.29368	9.95639	13.8552	106.555	112.739	99.6035
XLOC_000501	1.09832	7.32361	2.68933	32.1965	29.4398	16.9071	12.0223	3.98256	18.8934	55.5937	50.5383	56.9163
XLOC_000502	6.58994	10.5785	8.06798	72.7401	51.029	18.0343	2.57621	5.97384	5.03825	105.396	101.077	109.564
XLOC_000503	8.78659	8.13734	5.37865	64.3929	44.1597	72.137	3.43495	11.9477	10.0765	83.3905	84.7489	78.2599
XLOC_000524	383.315	350.719	327.201	618.887	514.215	570.333	401.03	365.4	430.77	349.777	395.754	335.095
XLOC_000539	21.9665	13.0197	17.0324	15.502	27.4772	25.9242	28.3383	13.939	35.2678	16.2148	10.8852	14.9405
XLOC_000542	1.09832	1.62747	0	0	0	0	1.71747	0	1.25956	1.1582	2.33254	6.40308
XLOC_000554	2.19665	0	0.896442	0	0	0	0.858736	0	0	0	0.777513	1.42291
XLOC_000564	70.2927	96.8344	77.0941	121.631	159.956	153.291	137.398	125.451	137.292	208.476	132.955	48.3789
XLOC_000598	0	0	0	3.57738	0	0	3.43495	2.98692	0	4.6328	6.2201	7.11454
XLOC_000604	8.78659	8.13734	3.58577	4.76984	6.86929	3.38142	9.4461	4.9782	3.77869	13.8984	31.878	22.0551
XLOC_000605	4.39329	6.50987	3.58577	7.15477	4.90664	1.12714	12.0223	5.97384	2.51913	19.6894	20.2153	28.4582
XLOC_000606	4.39329	0.813734	0	0	0	0	1.71747	0.995639	0	5.79101	3.11005	7.82599
XLOC_000609	18.6715	13.8335	2.68933	2.38492	14.7199	11.2714	37.7844	30.8648	30.2295	1.1582	1.55503	4.26872
XLOC_000621	1.09832	0.813734	2.68933	0	0	0	6.01115	3.98256	5.03825	4.6328	0.777513	8.53745
XLOC_000625	27.4581	35.8043	47.5114	54.8532	57.8983	68.7556	22.3271	28.8735	39.0464	86.8651	61.4235	51.2247
XLOC_000628	81.2759	83.8146	82.4727	14.3095	19.6265	25.9242	90.1673	118.481	49.1229	42.8534	45.8732	32.0154
XLOC_000632	7.68826	14.6472	13.4466	17.8869	14.7199	13.5257	2.57621	2.98692	7.55738	8.10741	8.55264	7.82599
XLOC_000633	0	2.4412	2.68933	0	0	0	0.858736	1.99128	0	1.1582	15.5503	12.0947
XLOC_000639	184.518	172.512	181.081	242.07	231.593	226.555	58.3941	64.7166	75.5738	493.394	415.192	501.575
XLOC_000640	1291.63	879.647	851.62	1503.69	1289.46	1333.41	221.554	390.291	353.937	1942.3	1738.52	1688.28
XLOC_000641	1.09832	0	0	1.19246	1.96265	2.25428	0	0	0	5.79101	16.3278	19.2093
XLOC_000642	0	0	0	0	0	2.25428	0	0	0	0	4.66508	4.98018
XLOC_000643	114.226	113.109	95.0229	83.4723	99.114	107.078	23.1859	37.8343	52.9016	70.6503	109.629	93.2004
XLOC_000647	76.8826	94.3932	98.6087	72.7401	73.5995	60.8656	146.844	125.451	123.437	107.713	72.3087	90.3546
XLOC_000650	39.5396	38.2455	53.7865	38.1588	55.9356	32.6871	40.3606	61.7296	37.7869	63.7011	57.5359	53.359
XLOC_000655	12.0816	14.6472	15.2395	10.7322	7.85062	19.1614	32.632	52.7689	17.6339	1.1582	5.44259	5.69163
XLOC_000657	24.1631	18.7159	24.2039	44.1211	33.3651	42.8314	21.4684	29.8692	36.5273	47.4862	41.9857	36.2841
XLOC_000662	9.88491	19.5296	20.6182	15.502	19.6265	21.4157	19.7509	28.8735	28.9699	18.5312	21.7704	29.1696
XLOC_000691	9.88491	14.6472	13.4466	5.96231	4.90664	11.2714	9.4461	6.96948	1.25956	9.26561	13.9952	11.3833
XLOC_000692	172.437	112.295	98.6087	2734.31	3060.76	1818.08	87.5911	83.6337	152.407	6213.75	5013.4	5271.87
XLOC_000737	1.09832	0	0.896442	1.19246	6.86929	1.12714	0	0.995639	0	0	0	0
XLOC_000743	35.1463	13.0197	22.4111	33.3889	38.2718	28.1785	18.0335	25.8866	20.153	15.0566	17.8828	13.5176
XLOC_000751	51.6212	32.5494	34.0648	70.3552	52.9917	49.5942	41.2193	29.8692	46.6038	46.328	30.323	20.6322
XLOC_000760	45.0313	65.9125	69.9225	38.1588	33.3651	16.9071	62.6878	57.7471	76.8333	44.0116	41.9857	56.9163
XLOC_000764	158.159	143.217	124.605	88.2421	120.703	92.4256	140.833	169.259	165.003	115.82	139.952	125.927
XLOC_000781	239.434	174.139	161.36	132.363	159.956	139.765	324.602	231.984	214.126	457.489	244.139	334.383
XLOC_000787	21.9665	29.2944	18.8253	4.76984	7.85062	5.63571	36.0669	41.8169	34.0082	13.8984	8.55264	6.40308
XLOC_000791	39.5396	39.0592	58.2688	20.2718	23.5518	18.0343	66.1227	71.686	56.6803	23.164	25.6579	27.7467
XLOC_000818	34.048	41.5004	47.5114	46.506	41.2157	54.1028	35.2082	13.939	25.1913	39.3788	36.5431	69.011
XLOC_000824	54.9162	87.8833	51.9937	50.0834	50.0477	27.0514	85.8736	84.6293	94.4672	48.6444	48.9833	72.5683
